id,usuario_id,tipo,alias,clabe,numero_mascara,saldo_centavos,moneda,fecha_apertura,estatus,es_principal
cta_ana_nomina,usr_ana,nomina,Nómina Ana,000181000000000101,•••• 0101,1842350,MXN,2021-08-02,activa,true
cta_ana_ahorro,usr_ana,ahorro,Ahorro Ana,000181000000000102,•••• 0102,4815000,MXN,2023-01-19,activa,false
cta_ana_inversion,usr_ana,inversion,Inversión Ana,000181000000000103,•••• 0103,2530000,MXN,2026-03-16,activa,false
cta_beto_nomina,usr_beto,nomina,Nómina Beto,000181000000000201,•••• 0201,218740,MXN,2016-02-15,activa,true
cta_beto_ahorro,usr_beto,ahorro,Ahorro Beto,000181000000000202,•••• 0202,63200,MXN,2018-09-04,activa,false
cta_beto_credito,usr_beto,credito,Tarjeta Clásica Beto,000181000000000203,•••• 4821,-4738600,MXN,2019-07-22,activa,false
cta_carmen_nomina,usr_carmen,nomina,Cuenta Corriente Carmen,000181000000000301,•••• 0301,18734200,MXN,2009-05-11,activa,true
cta_carmen_ahorro,usr_carmen,ahorro,Reserva Carmen,000181000000000302,•••• 0302,48200000,MXN,2014-03-27,activa,false
cta_carmen_inversion,usr_carmen,inversion,Portafolio Carmen,000181000000000303,•••• 0303,287450000,MXN,2016-01-15,activa,false
cta_carmen_credito,usr_carmen,credito,Tarjeta Oro Carmen,000181000000000304,•••• 7712,-2841500,MXN,2011-10-08,activa,false
